City,Temperature F,Humidity %,Cloudiness %,Wind Speed mph,Latitude,Longitude,Date
hobart,58.23,13.0,100.0,17.22,-42.88,147.33,Mon Oct 28 14:25:36 2019
puerto ayora,74.14,61.0,75.0,8.05,-0.74,-90.35,Mon Oct 28 14:23:07 2019
taolanaro,74.14,61.0,75.0,8.05,-0.74,-90.35,Mon Oct 28 14:23:07 2019
baisha,65.79,98.0,86.0,3.89,19.23,109.45,Mon Oct 28 14:25:49 2019
charters towers,69.64,76.0,98.0,15.08,-20.07,146.27,Mon Oct 28 14:25:49 2019
bredasdorp,53.1,66.0,0.0,12.75,-34.53,20.04,Mon Oct 28 14:25:49 2019
soe,33.91,94.0,20.0,4.7,57.91,26.05,Mon Oct 28 14:25:49 2019
butaritari,84.87,70.0,100.0,11.61,3.07,172.79,Mon Oct 28 14:24:53 2019
wexford,67.12,45.0,1.0,4.7,40.63,-80.06,Mon Oct 28 14:25:50 2019
avarua,77.0,65.0,99.0,3.36,-21.21,-159.78,Mon Oct 28 14:25:50 2019
san patricio,96.66,42.0,0.0,4.72,-26.98,-56.83,Mon Oct 28 14:25:50 2019
paita,62.6,100.0,65.0,16.11,-5.09,-81.11,Mon Oct 28 14:25:50 2019
vila do maio,80.6,69.0,100.0,14.99,15.13,-23.22,Mon Oct 28 14:25:51 2019
hilo,78.76,54.0,1.0,8.05,19.71,-155.08,Mon Oct 28 14:25:51 2019
manta,51.04,55.0,34.0,1.57,45.1,24.1,Mon Oct 28 14:25:51 2019
along,59.43,89.0,93.0,4.23,28.17,94.8,Mon Oct 28 14:25:51 2019
punta arenas,47.43,36.0,20.0,13.87,-53.16,-70.91,Mon Oct 28 14:25:51 2019
mataura,48.99,87.0,63.0,1.99,-46.19,168.86,Mon Oct 28 14:25:51 2019
ushuaia,41.68,64.0,20.0,20.8,-54.81,-68.31,Mon Oct 28 14:22:10 2019
bara,75.72,71.0,100.0,2.89,10.41,10.6,Mon Oct 28 14:25:52 2019
tigre,63.25,77.0,75.0,9.17,-34.42,-58.58,Mon Oct 28 14:25:52 2019
chuy,74.28,81.0,100.0,4.36,-33.69,-53.46,Mon Oct 28 14:25:52 2019
busselton,50.59,51.0,100.0,10.0,-33.64,115.35,Mon Oct 28 14:25:52 2019
pangnirtung,32.0,75.0,75.0,13.87,66.15,-65.72,Mon Oct 28 14:25:53 2019
saint-georges,47.05,100.0,82.0,1.99,46.12,-70.67,Mon Oct 28 14:25:53 2019
illoqqortoormiut,47.05,100.0,82.0,1.99,46.12,-70.67,Mon Oct 28 14:25:53 2019
kapaa,83.23,66.0,1.0,11.41,22.08,-159.32,Mon Oct 28 14:25:53 2019
yellowknife,13.64,72.0,75.0,5.82,62.45,-114.38,Mon Oct 28 14:25:05 2019
bushehr,77.0,47.0,40.0,4.76,28.97,50.84,Mon Oct 28 14:25:54 2019
cape town,55.92,62.0,75.0,2.24,-33.93,18.42,Mon Oct 28 14:25:54 2019
castro,50.0,87.0,75.0,23.04,-42.48,-73.76,Mon Oct 28 14:25:54 2019
lolua,50.0,87.0,75.0,23.04,-42.48,-73.76,Mon Oct 28 14:25:54 2019
saint george,55.4,82.0,12.0,4.7,39.45,22.34,Mon Oct 28 14:25:54 2019
hermanus,52.77,74.0,55.0,5.99,-34.42,19.24,Mon Oct 28 14:24:53 2019
turukhansk,12.06,96.0,100.0,2.82,65.8,87.96,Mon Oct 28 14:25:55 2019
te anau,39.13,94.0,100.0,3.29,-45.41,167.72,Mon Oct 28 14:25:55 2019
esperance,53.6,81.0,90.0,10.29,-33.86,121.89,Mon Oct 28 14:25:16 2019
yarmouth,49.19,76.0,75.0,2.24,43.84,-66.12,Mon Oct 28 14:25:55 2019
lebu,59.0,51.0,40.0,5.82,8.96,38.73,Mon Oct 28 14:24:57 2019
leningradskiy,13.44,88.0,100.0,36.93,69.38,178.42,Mon Oct 28 14:25:56 2019
okha,32.65,83.0,35.0,6.69,53.59,142.95,Mon Oct 28 14:25:56 2019
saint-philippe,53.71,81.0,90.0,2.24,45.36,-73.48,Mon Oct 28 14:25:03 2019
homer,49.48,71.0,90.0,11.41,59.64,-151.54,Mon Oct 28 14:25:56 2019
klaksvik,39.2,63.0,100.0,5.82,62.23,-6.59,Mon Oct 28 14:25:56 2019
tuktoyaktuk,26.6,73.0,75.0,25.28,69.44,-133.03,Mon Oct 28 14:25:03 2019
atar,84.49,16.0,0.0,7.25,20.52,-13.05,Mon Oct 28 14:25:57 2019
udachnyy,8.6,92.0,90.0,4.47,66.42,112.4,Mon Oct 28 14:25:57 2019
mar del plata,52.84,62.0,100.0,14.25,-46.43,-67.52,Mon Oct 28 14:25:57 2019
westport,59.52,72.0,1.0,8.05,41.14,-73.36,Mon Oct 28 14:24:02 2019
isangel,78.8,65.0,20.0,9.17,-19.55,169.27,Mon Oct 28 14:25:57 2019
