City,Temperature F,Humidity %,Cloudiness %,Wind Speed mph,Latitude,Longitude,Date
atuona,80.47,69.0,83.0,11.23,-9.8,-139.03,Sat Nov  2 17:13:28 2019
wasilla,38.55,100.0,90.0,3.69,61.58,-149.44,Sat Nov  2 17:10:18 2019
praya,80.6,78.0,20.0,8.05,-8.71,116.27,Sat Nov  2 17:13:29 2019
nishihara,60.85,72.0,75.0,5.82,35.74,139.53,Sat Nov  2 17:13:29 2019
pochutla,84.74,74.0,20.0,6.93,15.74,-96.47,Sat Nov  2 17:13:29 2019
yellowknife,23.0,85.0,75.0,8.05,62.45,-114.38,Sat Nov  2 17:13:29 2019
ushuaia,44.6,75.0,75.0,34.45,-54.81,-68.31,Sat Nov  2 17:13:29 2019
sakaraha,66.76,63.0,17.0,6.62,-22.91,44.53,Sat Nov  2 17:13:30 2019
palmerston,88.03,66.0,20.0,5.82,-12.49,130.99,Sat Nov  2 17:13:30 2019
roald,31.44,60.0,0.0,27.51,62.58,6.12,Sat Nov  2 17:13:30 2019
kaitangata,64.33,48.0,0.0,13.8,-46.28,169.85,Sat Nov  2 17:13:30 2019
mataura,72.23,44.0,0.0,14.16,-46.19,168.86,Sat Nov  2 17:13:31 2019
kavaratti,80.31,75.0,0.0,3.96,10.57,72.64,Sat Nov  2 17:13:31 2019
ketchikan,51.8,93.0,90.0,9.17,55.34,-131.65,Sat Nov  2 17:13:31 2019
zarand,44.6,48.0,0.0,4.7,30.81,56.57,Sat Nov  2 17:13:31 2019
cap-aux-meules,39.2,63.0,75.0,2.24,47.38,-61.86,Sat Nov  2 17:13:32 2019
punta arenas,42.37,87.0,75.0,26.4,-53.16,-70.91,Sat Nov  2 17:13:32 2019
mahina,80.71,50.0,100.0,1.86,13.76,-10.85,Sat Nov  2 17:13:32 2019
barrow,46.8,89.0,0.0,3.33,-38.31,-60.23,Sat Nov  2 17:13:35 2019
camacha,71.87,77.0,40.0,12.75,33.08,-16.33,Sat Nov  2 17:13:36 2019
taolanaro,71.87,77.0,40.0,12.75,33.08,-16.33,Sat Nov  2 17:13:36 2019
borovsk,33.8,80.0,96.0,8.95,55.21,36.48,Sat Nov  2 17:13:36 2019
rikitea,70.52,78.0,79.0,14.25,-23.12,-134.97,Sat Nov  2 17:13:36 2019
altay,36.93,76.0,100.0,6.08,47.83,88.13,Sat Nov  2 17:13:36 2019
bredasdorp,61.59,72.0,39.0,12.75,-34.53,20.04,Sat Nov  2 17:13:36 2019
norman wells,21.2,85.0,90.0,9.17,65.28,-126.83,Sat Nov  2 17:13:37 2019
cape town,61.61,93.0,75.0,6.93,-33.93,18.42,Sat Nov  2 17:13:37 2019
dikson,0.01,83.0,77.0,2.82,73.51,80.55,Sat Nov  2 17:13:37 2019
waingapu,81.05,74.0,6.0,9.91,-9.65,120.26,Sat Nov  2 17:13:37 2019
kapaa,81.79,66.0,90.0,14.99,22.08,-159.32,Sat Nov  2 17:13:37 2019
baker city,49.35,23.0,1.0,4.7,44.77,-117.83,Sat Nov  2 17:13:38 2019
jamestown,64.67,38.0,42.0,9.82,-33.21,138.6,Sat Nov  2 17:13:38 2019
nemuro,48.2,45.0,20.0,9.17,43.32,145.57,Sat Nov  2 17:13:38 2019
yerbogachen,19.67,78.0,97.0,11.5,61.28,108.01,Sat Nov  2 17:12:06 2019
shu,37.99,76.0,16.0,1.52,43.6,73.76,Sat Nov  2 17:13:38 2019
butaritari,83.53,76.0,1.0,14.5,3.07,172.79,Sat Nov  2 17:13:39 2019
port alfred,63.0,82.0,10.0,3.0,-33.59,26.89,Sat Nov  2 17:13:39 2019
ewa beach,83.82,58.0,40.0,11.41,21.32,-158.01,Sat Nov  2 17:11:35 2019
okato,73.0,51.0,0.0,8.01,-39.19,173.88,Sat Nov  2 17:13:39 2019
palabuhanratu,73.0,51.0,0.0,8.01,-39.19,173.88,Sat Nov  2 17:13:39 2019
saint anthony,41.58,38.0,1.0,1.28,43.97,-111.68,Sat Nov  2 17:13:40 2019
tuensang,52.23,90.0,0.0,2.51,26.24,94.81,Sat Nov  2 17:13:40 2019
airai,79.88,37.0,0.0,3.6,-8.93,125.41,Sat Nov  2 17:13:40 2019
mangrol,73.11,76.0,0.0,4.12,25.33,76.51,Sat Nov  2 17:13:40 2019
hermanus,61.45,85.0,100.0,1.01,-34.42,19.24,Sat Nov  2 17:13:41 2019
port macquarie,81.37,44.0,0.0,8.05,-31.43,152.91,Sat Nov  2 17:13:41 2019
bengkulu,81.37,44.0,0.0,8.05,-31.43,152.91,Sat Nov  2 17:13:41 2019
biak,81.82,73.0,92.0,10.13,-0.91,122.88,Sat Nov  2 17:13:41 2019
broome,49.78,87.0,92.0,13.87,52.47,1.45,Sat Nov  2 17:13:42 2019
sainte-rose,39.96,56.0,90.0,5.82,45.61,-73.79,Sat Nov  2 17:13:42 2019
kwakoa,71.4,75.0,24.0,8.93,-3.77,37.72,Sat Nov  2 17:13:42 2019
avarua,78.8,65.0,97.0,16.11,-21.21,-159.78,Sat Nov  2 17:13:42 2019
ambon,53.51,100.0,100.0,13.87,47.55,-2.56,Sat Nov  2 17:13:42 2019
clyde river,15.8,72.0,1.0,3.36,70.47,-68.59,Sat Nov  2 17:13:43 2019
mount isa,93.2,26.0,1.0,10.29,-20.73,139.49,Sat Nov  2 17:13:43 2019
palimbang,81.19,83.0,75.0,6.93,14.9,120.78,Sat Nov  2 17:13:43 2019
georgetown,80.44,83.0,20.0,6.93,6.8,-58.16,Sat Nov  2 17:13:16 2019
buqayq,80.44,83.0,20.0,6.93,6.8,-58.16,Sat Nov  2 17:13:16 2019
new norfolk,64.9,51.0,75.0,8.05,-42.78,147.06,Sat Nov  2 17:13:44 2019
osakarovka,24.15,76.0,42.0,8.37,50.56,72.58,Sat Nov  2 17:13:44 2019
busselton,58.86,50.0,82.0,7.38,-33.64,115.35,Sat Nov  2 17:13:44 2019
mys shmidta,58.86,50.0,82.0,7.38,-33.64,115.35,Sat Nov  2 17:13:44 2019
rehoboth,69.93,19.0,18.0,9.46,-23.31,17.08,Sat Nov  2 17:13:45 2019
tuktoyaktuk,24.8,92.0,90.0,4.7,69.44,-133.03,Sat Nov  2 17:13:45 2019
ribeira grande,61.83,81.0,100.0,8.97,38.52,-28.7,Sat Nov  2 17:13:45 2019
hamilton,38.57,91.0,75.0,8.05,43.26,-79.87,Sat Nov  2 17:09:31 2019
alice springs,77.0,22.0,90.0,18.34,-23.7,133.88,Sat Nov  2 17:13:45 2019
coihaique,51.8,57.0,75.0,13.87,-45.58,-72.07,Sat Nov  2 17:13:45 2019
qaanaaq,13.26,55.0,100.0,8.5,77.48,-69.36,Sat Nov  2 17:13:46 2019
phalodi,76.06,46.0,0.0,6.64,27.13,72.36,Sat Nov  2 17:13:46 2019
illoqqortoormiut,76.06,46.0,0.0,6.64,27.13,72.36,Sat Nov  2 17:13:46 2019
qingdao,59.0,51.0,52.0,8.95,36.09,120.35,Sat Nov  2 17:13:46 2019
severo-kurilsk,37.42,75.0,61.0,18.28,50.68,156.12,Sat Nov  2 17:13:47 2019
saint-philippe,40.01,59.0,1.0,5.82,45.36,-73.48,Sat Nov  2 17:13:47 2019
kupang,84.2,70.0,20.0,8.05,-10.16,123.6,Sat Nov  2 17:13:47 2019
carutapera,81.43,78.0,29.0,16.35,-1.2,-46.02,Sat Nov  2 17:13:47 2019
beringovskiy,29.08,89.0,100.0,7.52,63.05,179.32,Sat Nov  2 17:13:47 2019
karratha,77.45,44.0,1.0,29.12,-20.74,116.85,Sat Nov  2 17:13:48 2019
agadir,64.4,82.0,7.0,6.93,30.42,-9.58,Sat Nov  2 17:13:48 2019
kembe,64.4,82.0,7.0,6.93,30.42,-9.58,Sat Nov  2 17:13:48 2019
lebu,53.6,66.0,20.0,2.24,8.96,38.73,Sat Nov  2 17:13:48 2019
leningradskiy,11.53,73.0,16.0,8.1,69.38,178.42,Sat Nov  2 17:13:48 2019
moree,78.91,47.0,40.0,18.34,-29.46,149.84,Sat Nov  2 17:13:49 2019
albany,37.42,74.0,1.0,3.69,42.65,-73.75,Sat Nov  2 17:13:49 2019
belushya guba,37.42,74.0,1.0,3.69,42.65,-73.75,Sat Nov  2 17:13:49 2019
novolvovsk,37.42,74.0,1.0,3.69,42.65,-73.75,Sat Nov  2 17:13:49 2019
shetpe,34.81,88.0,100.0,26.19,44.14,52.16,Sat Nov  2 17:13:49 2019
grand river south east,34.81,88.0,100.0,26.19,44.14,52.16,Sat Nov  2 17:13:49 2019
klaksvik,42.8,60.0,100.0,25.28,62.23,-6.59,Sat Nov  2 17:13:50 2019
fort saint john,42.8,60.0,100.0,25.28,62.23,-6.59,Sat Nov  2 17:13:50 2019
