City,Temperature F,Humidity %,Cloudiness %,Wind Speed mph,Latitude,Longitude,Date
broken hill,91.4,18.0,42.0,12.75,-31.97,141.45,Mon Dec  9 23:25:06 2019
douentza,57.54,19.0,0.0,4.25,15.01,-2.95,Mon Dec  9 23:25:06 2019
sitka,27.0,71.0,76.0,2.66,37.17,-99.65,Mon Dec  9 23:25:06 2019
carnarvon,66.16,52.0,85.0,6.11,-30.97,22.13,Mon Dec  9 23:25:06 2019
busselton,90.3,7.0,0.0,14.97,-33.64,115.35,Mon Dec  9 23:25:06 2019
provideniya,27.12,97.0,100.0,15.08,64.42,-173.23,Mon Dec  9 23:25:07 2019
lebu,62.6,82.0,75.0,12.75,8.96,38.73,Mon Dec  9 23:25:07 2019
atuona,79.92,65.0,99.0,8.25,-9.8,-139.03,Mon Dec  9 23:25:07 2019
souillac,34.41,100.0,20.0,3.36,45.6,-0.6,Mon Dec  9 23:25:07 2019
ushuaia,42.8,70.0,75.0,32.21,-54.81,-68.31,Mon Dec  9 23:25:07 2019
kathmandu,62.6,48.0,20.0,3.36,27.71,85.32,Mon Dec  9 23:23:44 2019
avera,60.8,95.0,75.0,6.93,33.19,-82.53,Mon Dec  9 23:25:08 2019
tsihombe,60.8,95.0,75.0,6.93,33.19,-82.53,Mon Dec  9 23:25:08 2019
barentsburg,60.8,95.0,75.0,6.93,33.19,-82.53,Mon Dec  9 23:25:08 2019
barrow,65.86,35.0,68.0,7.14,-38.31,-60.23,Mon Dec  9 23:25:09 2019
sao filipe,69.67,79.0,98.0,19.3,14.9,-24.5,Mon Dec  9 23:25:09 2019
nizhneyansk,69.67,79.0,98.0,19.3,14.9,-24.5,Mon Dec  9 23:25:09 2019
la ronge,-18.4,75.0,5.0,5.82,55.1,-105.3,Mon Dec  9 23:25:10 2019
rikitea,74.8,85.0,100.0,27.51,-23.12,-134.97,Mon Dec  9 23:25:10 2019
cherskiy,-12.77,97.0,100.0,10.56,68.75,161.3,Mon Dec  9 23:25:10 2019
vaini,79.68,51.0,40.0,9.17,15.34,74.49,Mon Dec  9 23:25:10 2019
bluff,99.16,13.0,0.0,18.01,-23.58,149.07,Mon Dec  9 23:25:10 2019
kodiak,16.93,85.0,1.0,9.17,39.95,-94.76,Mon Dec  9 23:25:11 2019
new norfolk,64.44,59.0,20.0,17.22,-42.78,147.06,Mon Dec  9 23:25:11 2019
cape town,71.83,56.0,87.0,8.05,-33.93,18.42,Mon Dec  9 23:25:11 2019
saint george,45.66,100.0,90.0,0.6,39.45,22.34,Mon Dec  9 23:25:11 2019
nanortalik,28.67,90.0,100.0,36.84,60.14,-45.24,Mon Dec  9 23:25:11 2019
longyearbyen,-2.2,77.0,75.0,4.7,78.22,15.63,Mon Dec  9 23:25:12 2019
jamestown,86.34,17.0,0.0,15.48,-33.21,138.6,Mon Dec  9 23:25:12 2019
mataura,57.99,71.0,96.0,7.0,-46.19,168.86,Mon Dec  9 23:25:12 2019
dunedin,57.0,83.0,89.0,14.0,-45.87,170.5,Mon Dec  9 23:25:12 2019
port alfred,66.99,88.0,94.0,8.99,-33.59,26.89,Mon Dec  9 23:25:12 2019
pangnirtung,8.08,80.0,100.0,7.78,66.15,-65.72,Mon Dec  9 23:25:13 2019
nome,69.91,100.0,75.0,3.36,30.04,-94.42,Mon Dec  9 23:25:13 2019
santa cruz,66.97,97.0,19.0,3.18,-6.22,-36.02,Mon Dec  9 23:25:13 2019
hobart,64.44,59.0,20.0,18.34,-42.88,147.33,Mon Dec  9 23:20:25 2019
tura,-8.46,97.0,100.0,3.31,64.27,100.22,Mon Dec  9 23:25:13 2019
pandan,80.85,81.0,100.0,22.3,11.72,122.09,Mon Dec  9 23:25:14 2019
castro,51.8,100.0,100.0,6.93,-42.48,-73.76,Mon Dec  9 23:25:14 2019
magaria,61.23,20.0,0.0,8.55,13.0,8.91,Mon Dec  9 23:25:14 2019
pemangkat,61.23,20.0,0.0,8.55,13.0,8.91,Mon Dec  9 23:25:14 2019
poum,41.0,93.0,90.0,3.36,41.28,20.71,Mon Dec  9 23:25:14 2019
mandalgovi,19.49,37.0,42.0,19.04,45.76,106.27,Mon Dec  9 23:25:15 2019
chambersburg,48.43,81.0,90.0,9.17,39.94,-77.66,Mon Dec  9 23:25:15 2019
